axis,start_time,end_time,duration_sec,peak_resid,label
Axis #4,2022-10-18 03:27:46.574000+00:00,2022-10-18 03:27:46.574000+00:00,0.0,3.0526,WARNING
Axis #6,2022-10-18 03:28:14.939000+00:00,2022-10-18 03:28:14.939000+00:00,0.0,4.918,WARNING
Axis #4,2022-10-18 03:28:20.612000+00:00,2022-10-18 03:28:20.612000+00:00,0.0,4.9182,WARNING
Axis #5,2022-10-18 03:28:35.740000+00:00,2022-10-18 03:28:35.740000+00:00,0.0,5.0396,WARNING
Axis #2,2022-10-18 03:28:56.541000+00:00,2022-10-18 03:28:56.541000+00:00,0.0,13.9199,WARNING
Axis #3,2022-10-18 03:29:00.323000+00:00,2022-10-18 03:29:02.214000+00:00,1.89,13.1117,WARNING
Axis #8,2022-10-18 03:29:09.778000+00:00,2022-10-18 03:29:09.778000+00:00,0.0,0.9195,WARNING
Axis #4,2022-10-18 03:29:15.451000+00:00,2022-10-18 03:29:15.451000+00:00,0.0,3.4333,WARNING
Axis #3,2022-10-18 03:29:26.797000+00:00,2022-10-18 03:29:26.797000+00:00,0.0,11.6848,WARNING
Axis #4,2022-10-18 03:29:28.688000+00:00,2022-10-18 03:29:28.688000+00:00,0.0,3.2082,WARNING
Axis #7,2022-10-18 03:29:30.579000+00:00,2022-10-18 03:29:30.579000+00:00,0.0,5.1018,WARNING
Axis #7,2022-10-18 03:29:36.252000+00:00,2022-10-18 03:29:36.252000+00:00,0.0,4.2512,WARNING
Axis #6,2022-10-18 03:29:41.925000+00:00,2022-10-18 03:29:41.925000+00:00,0.0,3.6056,WARNING
Axis #1,2022-10-18 03:29:57.053000+00:00,2022-10-18 03:29:57.053000+00:00,0.0,5.4721,WARNING
Axis #3,2022-10-18 03:30:02.726000+00:00,2022-10-18 03:30:02.726000+00:00,0.0,10.1677,WARNING
Axis #1,2022-10-18 03:30:10.290000+00:00,2022-10-18 03:30:10.290000+00:00,0.0,4.3583,WARNING
Axis #5,2022-10-18 03:30:14.072000+00:00,2022-10-18 03:30:14.072000+00:00,0.0,4.5367,WARNING
Axis #3,2022-10-18 03:30:32.982000+00:00,2022-10-18 03:30:32.982000+00:00,0.0,12.6413,WARNING
Axis #8,2022-10-18 03:30:34.873000+00:00,2022-10-18 03:30:34.873000+00:00,0.0,0.8523,WARNING
Axis #3,2022-10-18 03:30:40.546000+00:00,2022-10-18 03:30:40.546000+00:00,0.0,14.8552,WARNING
Axis #3,2022-10-18 03:30:44.328000+00:00,2022-10-18 03:30:44.328000+00:00,0.0,12.18,WARNING
Axis #5,2022-10-18 03:30:44.328000+00:00,2022-10-18 03:30:44.328000+00:00,0.0,5.5168,WARNING
Axis #5,2022-10-18 03:30:48.110000+00:00,2022-10-18 03:30:48.110000+00:00,0.0,4.1871,WARNING
Axis #4,2022-10-18 03:30:57.565000+00:00,2022-10-18 03:30:57.565000+00:00,0.0,2.9794,WARNING
Axis #4,2022-10-18 03:31:05.129000+00:00,2022-10-18 03:31:05.129000+00:00,0.0,3.7183,WARNING
Axis #4,2022-10-18 03:31:16.475000+00:00,2022-10-18 03:31:16.475000+00:00,0.0,3.2335,WARNING
